
1,77.84,78.8804,78.5297,77.5709,76.7469,78.0899,77.5942,78.5282,77.8322,77.6866,77.5457,78.5698,78.9238,78.2436,78.9448,78.9048,
2,77.84,76.7881,76.5555,78.8803,78.9474,78.6576,77.8516,76.7614,77.1393,77.2414,78.7232,78.5756,78.0251,78.5766,78.5352,78.1196,
3,77.84,78.1748,77.6941,77.6525,76.5552,77.2265,77.3126,75.8514,76.4599,77.5618,77.0879,77.366,76.2972,76.6053,77.427,77.3243,
4,77.84,77.2591,78.1839,76.0236,75.3917,76.4465,75.687,76.3052,75.9454,75.7536,76.6694,75.6324,75.2249,75.6882,75.6646,74.9983,
5,77.84,77.9082,76.6466,76.714,77.7204,76.8596,76.028,76.0539,75.5437,76.6566,76.6725,76.6645,76.3461,76.7741,77.3625,77.2665,
6,77.84,77.6463,80.5007,80.335,80.4347,80.4495,80.0404,78.4576,79.5697,80.0974,79.0646,76.7201,76.5998,77.4142,77.8215,78.9853,
7,77.84,77.577,77.9777,77.9611,79.731,79.1522,79.9294,78.7696,78.8794,79.1598,79.2792,80.0851,79.3859,79.568,80.4489,80.0423,
8,77.84,77.5295,77.4636,77.8895,78.012,79.2456,78.1224,78.1362,78.1492,77.5216,77.7591,77.7742,77.9893,78.502,79.0244,79.7229,
9,77.84,76.6318,76.8147,76.3491,76.5136,76.949,76.1899,76.5793,75.3229,74.0464,73.4509,73.0265,73.2191,72.0456,72.2576,73.1788,
10,77.84,77.6279,77.6729,78.7099,79.4794,77.277,77.1538,78.2613,77.2612,77.2863,77.6686,77.7842,78.5329,78.5716,80.069,81.8609,
11,77.84,77.1747,78.2345,79.2832,77.9059,77.1173,75.5024,74.7137,74.5713,74.3322,74.3357,73.3849,72.382,70.6295,69.9546,70.3028,
12,77.84,77.8583,77.2224,76.9023,78.201,76.6201,76.8924,77.1876,76.6339,77.3025,77.4453,78.4615,78.1712,78.3656,80.0814,80.2903,
13,77.84,79.1704,79.3229,79.6591,79.7773,80.4387,80.857,81.2622,80.8065,80.7902,81.0938,80.1117,79.5228,81.2153,81.7739,82.0349,
14,77.84,77.2801,78.1137,78.0064,77.3851,77.417,77.6012,77.0815,77.2036,76.0943,75.4375,75.4209,75.8792,76.4547,76.9937,76.7384,
